label,product_id,family_name,model_name,phase_1_label,phase_1_name,phase_1_index,phase_2_label,phase_2_name,phase_2_index,phase_3_label,phase_3_name,phase_3_index,phase_4_label,phase_4_name,phase_4_index,phase_5_label,phase_5_name,phase_5_index,phase_6_label,phase_6_name,phase_6_index,phase_7_label,phase_7_name,phase_7_index,phase_8_label,phase_8_name,phase_8_index,phase_9_label,phase_9_name,phase_9_index,phase_10_label,phase_10_name,phase_10_index
0,CBEOA,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBEOF,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBREA,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBREB,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBREC,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBREE,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBREF,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBREG,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBREM,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBREO,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRER,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRES,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRMO,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRRA,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRRB,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRRC,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRRE,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRRF,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRRG,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRRM,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRRO,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRRS,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRSA,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
0,CBRSB,Vp3AaLm,jQU90011WUh,1.0,UU9,0.0,1.0,UU9,1.0,1.0,UU1,2.0,1.0,Up3,3.0,1.0,UU3,4.0,1.0,UU3,5.0,1.0,UU3,6.0,1.0,UU3,7.0,1.0,UU3,8.0,1.0,UU3,9.0
